0,1,2,3,4,5,6,7,8,9,10
18,69576,1.0,"[25,75]","[1000,0]",[100],[240],practice_problem_a,28773.0,Win 1000 dollars with 25 percent chance lose 0 with 75  I would go for this I do not know 1000 with 25 percent chance 25  s  25 percent 1000 dollars 25 is a little bit  I will go with ,40.0
19,69576,1.0,"[80,20]","[-500,0]",[100],[-400],practice_problem_b,35423.0,Lose 500 dollars with 80 percent chance okay lose 400 dollars with 100 percent chance mmm lose uh I do not know I do not understand lose 400 dollars with 100 percent chance so we lose 400 with 100 percent chance of not losing  I do not understand lose 500 dollars with 80 percent chance huh I am confused,59.0
21,69576,1.0,"[20,80]","[-4000,0]","[25,75]","[-3000,0]",problem4p,27472.0,Lose 4000 dollars 20 percent chance lose 0 dollars with lose 3000 dollars with 25  25 percent chance or lose 4000 dollars 20 percent lose 0 dollars 80 percent I will lose 3000 25 percent cuz the lose 0 is no  than losing the other 0 I guess,48.0
22,69576,1.0,"[25,75]","[-6000,0]","[25,25,50]","[-4000,-2000,0]",problem13p,12655.0,,0.0
23,69576,0.0,"[0.1,99.9]","[5000,0]",[100],[5],problem14,27390.0,Lose 5000 with lose 5 lose 5 lose 5 with 100 percent chance or lose okay someone came in that is annoying that is weird embarrassing lose 5000 with 0 percent chance okay this,34.0
24,69576,0.0,"[0.1,99.9]","[6000,0]","[0.2,99.8]","[3000,0]",problem8,46538.0, I could lose  6000 with 0 . 1 chance or lose 3000 with 0 . 2 chance but I could lose 0 dollars with 90 . 9 chance and here 99 . 8 ,33.0
25,69576,1.0,"[20,80]","[4000,0]","[25,75]","[3000,0]",problem4,60870.0,Lose 4000 dollars 20 percent chance lose 0 dollars with lose 3000 dollars with 25  25 percent chance or lose 4000 dollars 20 percent lose 0 dollars 80 percent I will lose 3000 25 percent cuz the lose 0 is no  than losing the other 0 I guess,48.0
26,69576,1.0,"[80,20]","[4000,0]",[100],[3000],problem3,10335.0,"exactly the same . Uh not exactly but it is the same but not very the same lose 4000 dollars with  80 percent , 0 with 20 , 3000 with 100 so I could lose 3000 100 percent or I could lose 4000 80 percent and lose 0 with 20 percent",51.0
27,69576,1.0,"[45,55]","[-6000,0]","[90,10]","[-3000,0]",problem7p,49703.0,I do not like them  and I do not like choosing and I do not like why like why lose like if it would be different examples then it would be easier cuz I do not like counting and I do not like  and I do not like math cuz I do not understand what is happening  I do understand I do not know I am mixed up I am confused mmm it is very  okay lose 6000 with 40  so I am going to lose 6000 with 45 percent chance winning right or lose 0 with 55 percent chance I do not get it lose 3000 okay,108.0
28,69576,0.0,"[0.1,99.9]","[-5000,0]",[100],[-5],problem14p,19755.0,Lose 5000 with lose 5 lose 5 lose 5 with 100 percent chance or lose okay someone came in that is annoying that is weird embarrassing lose 5000 with 0 percent chance okay this,34.0
29,69576,1.0,"[33,66,1]","[2500,2400,0]",[100],[2400],problem1,18071.0,I think I think I understand and then I think again that I do not understand so I understand but then I think that I do not understand I do not know if I understand it is weird cuz I have I am confused my mind is like  ugh so it is win 500 dollars with 100 percent chance winning and or win 1000 dollars with 50 percent chance of winning and losing 50 percent chance so I could do this but this is like safer but I could risk it but ,92.0
30,69576,1.0,"[33,67]","[2500,0]","[34,66]","[2400,0]",problem2,42204.0,Okay I am  with this it is like easier win 2400 with 34 percent chance win 2500 with 33 percent chance but the lose here is less with 1 percent and does not matter it does matter does 1 percent matter I do not know if it does not matter I do not know  I do not understand actually if it does not matter cuz I hate math um hmm I do not know confusing 60 percent chance  the same it is exactly the same 2 percent chance  uh I do not know I will go with,97.0
31,69576,1.0,"[25,75]","[6000,0]","[25,25,50]","[4000,2000,0]",problem13,38510.0,,0.0
32,69576,0.0,"[45,55]","[6000,0]","[90,10]","[3000,0]",problem7,35936.0,I do not like them  and I do not like choosing and I do not like why like why lose like if it would be different examples then it would be easier cuz I do not like counting and I do not like  and I do not like math cuz I do not understand what is happening  I do understand I do not know I am mixed up I am confused mmm it is very  okay lose 6000 with 40  so I am going to lose 6000 with 45 percent chance winning right or lose 0 with 55 percent chance I do not get it lose 3000 okay,108.0
33,69576,1.0,"[50,50]","[1000,0]",[100],[500],problem11,38453.0,I think I think I understand and then I think again that I do not understand so I understand but then I think that I do not understand I do not know if I understand it is weird cuz I have I am confused my mind is like  ugh so it is win 500 dollars with 100 percent chance winning and or win 1000 dollars with 50 percent chance of winning and losing 50 percent chance so I could do this but this is like safer but I could risk it but ,92.0
34,69576,0.0,"[50,50]","[-1000,0]",[100],[-500],problem12,38074.0,for safer  lose 5000 okay no lose 1000 50 percent chance lose 0 uh so if I lost  if I lost 500 I do not know if I lost 500 okay it is 100 percent chance I am going to lose or I lose 1000 with 50 percent chance so I may win 50 percent chance I may win 5000 500 I mean not thousand and I may lose it . I am going to go with this although it is risky,82.0
35,69576,0.0,"[0.1,99.9]","[-6000,0]","[0.2,99.8]","[-3000,0]",problem8p,17505.0, I could lose  6000 with 0 . 1 chance or lose 3000 with 0 . 2 chance but I could lose 0 dollars with 90 . 9 chance and here 99 . 8 ,33.0
36,69576,0.0,"[80,20]","[-4000,0]",[100],[-3000],problem3p,17388.0,"exactly the same . Uh not exactly but it is the same but not very the same lose 4000 dollars with  80 percent , 0 with 20 , 3000 with 100 so I could lose 3000 100 percent or I could lose 4000 80 percent and lose 0 with 20 percent",51.0
37,69576,0.0,"[50,50]","[1000,0]",[100],[450],problem0,30373.0,Okay . I do not know if I am still doing this right  or it does not have right or wrong but I do not know if I am good at this I do not think so I am I am very  at math and I hate math win uh I do not know if this is considered math but it is considered math because you need to know percentages and I do not know uh percentages and this is very annoying . Win 1000 with 50 percent chance and lose 0 dollars with 50 percent or win 400 with 100  no,102.0
