0,1,2,3,4,5,6,7,8,9,10
18,72177,0.0,"[25,75]","[1000,0]",[100],[240],practice_problem_a,24929.0,,0.0
19,72177,0.0,"[80,20]","[-500,0]",[100],[-400],practice_problem_b,3223.0,,0.0
21,72177,1.0,"[80,0.625,3.125,6.25,6.25,3.125,0.625]","[-13,39.5,40.5,41.5,42.5,43.5,44.5]",[100],[5],problem4582,4575.0,,0.0
22,72177,1.0,"[75,25]","[-18,6]","[1,99]","[48,-5]",problem12127,1353.0,,0.0
23,72177,1.0,"[1,99]","[98,-2]",[100],[-1],problem8696,3369.0,the best way is,4.0
24,72177,1.0,"[20,80]","[68,13]","[20,80]","[24,28]",problem7830,6278.0,,0.0
25,72177,1.0,"[95,5]","[14,11]","[40,60]","[-15,24]",problem7937,2105.0,24,1.0
26,72177,1.0,[100],[22],"[1,49.5,49.5]","[-24,22.5,23.5]",problem11317,1956.0,,0.0
27,72177,1.0,"[60,40]","[52,-45]","[99,1]","[11,25]",problem7897,1288.0,,0.0
28,72177,0.0,"[25,75]","[38,-17]","[75,12.5,6.25,3.125,1.5625,0.78125,0.39062,0.39062]","[0,-3,-1,3,11,27,59,123]",problem13978,2372.0,,0.0
29,72177,1.0,"[80,20]","[-18,47]",[100],[-6],problem5357,1954.0,,0.0
30,72177,1.0,[100],[6],"[40,0.46875,3.28125,9.84375,16.40625,16.40625,9.84375,3.28125,0.46875]","[-10,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5]",problem12871,1638.0,,0.0
31,72177,1.0,"[99,1]","[-9,73]",[100],[2],problem3774,1555.0,Thank you .,3.0
32,72177,1.0,"[99,1]","[19,68]",[100],[19],problem11774,1405.0,,0.0
33,72177,1.0,"[10,90]","[-33,30]","[25,75]","[26,18]",problem8024,1304.0,,0.0
34,72177,1.0,"[50,50]","[6.5,7.5]",[100],[7],problem3826,1656.0,,0.0
35,72177,0.0,"[5,95]","[-1,-6]","[99,0.00781,0.05469,0.16406,0.27344,0.27344,0.16406,0.05469,0.00781]","[-5,-5.5,-4.5,-3.5,-2.5,-1.5,-0.5,0.5,1.5]",problem4691,1739.0,,0.0
36,72177,0.0,[100],[13],"[90,10]","[15,15]",problem4624,1172.0,,0.0
37,72177,0.0,"[75,25]","[20,15]","[1,3.09375,15.46875,30.9375,30.9375,15.46875,3.09375]","[-2,11.5,12.5,13.5,14.5,15.5,16.5]",problem9618,1489.0,,0.0
38,72177,1.0,"[25,37.5,37.5]","[-4,23.5,24.5]","[40,60]","[33,15]",problem1057,1806.0,,0.0
39,72177,1.0,"[50,50]","[-9,5]",[100],[-8],problem7612,2139.0,,0.0
40,72177,1.0,"[20,80]","[11,24]",[100],[29],problem7827,1404.0,,0.0
41,72177,1.0,"[99,1]","[-10,-7]",[100],[-6],problem5250,1171.0,,0.0
42,72177,1.0,"[95,5]","[4,2]",[100],[4],problem6661,1487.0,Thanks .,2.0
43,72177,1.0,"[80,10,10]","[2,18.5,19.5]",[100],[2],problem4830,1822.0,,0.0
44,72177,0.0,"[25,75]","[2,-10]","[99,0.5,0.25,0.125,0.0625,0.03125,0.01562,0.01562]","[-10,29,31,35,43,59,91,155]",problem173,7274.0,Thank you .,3.0
45,72177,1.0,"[80,20]","[-1,51]","[10,90]","[27,10]",problem2434,1473.0,,0.0
46,72177,0.0,[100],[16],"[90,0.3125,1.5625,3.125,3.125,1.5625,0.3125]","[17,22.5,23.5,24.5,25.5,26.5,27.5]",problem4121,1655.0,Thanks for watching . I hope you enjoyed this video . I will see you in the next video .,20.0
47,72177,1.0,[100],[10],"[60,40]","[18,20]",problem13924,1089.0,,0.0
48,72177,0.0,"[10,90]","[9,28]",[100],[22],problem8902,2538.0,,0.0
49,72177,1.0,[100],[16],"[75,25]","[5,41]",problem7901,5275.0,,0.0
50,72177,1.0,"[99,1]","[10,48]","[20,80]","[105,-3]",problem5659,1154.0,,0.0
51,72177,1.0,[100],[-6],"[90,10]","[-17,80]",problem13910,1221.0,Thank you .,3.0
52,72177,1.0,"[80,20]","[-19,59]","[60,40]","[1,-2]",problem12274,1137.0,,0.0
53,72177,1.0,"[90,10]","[-1,-25]","[60,40]","[-7,1]",problem197,1255.0,,0.0
54,72177,1.0,"[90,10]","[14,86]","[1,99]","[25,13]",problem5731,1004.0,,0.0
55,72177,0.0,"[90,10]","[-5,3]",[100],[-6],problem1326,1037.0,,0.0
56,72177,1.0,"[20,0.625,4.375,13.125,21.875,21.875,13.125,4.375,0.625]","[3,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5]",[100],[29],problem11043,1171.0,,0.0
57,72177,1.0,"[75,12.5,6.25,6.25]","[-23,92,94,98]",[100],[2],problem3543,1155.0,,0.0
58,72177,1.0,[100],[6],"[5,95]","[19,5]",problem8909,1339.0,,0.0
59,72177,1.0,"[60,40]","[53,-17]","[50,25,12.5,6.25,3.125,1.5625,1.5625]","[19,21,25,33,49,81,145]",problem914,1037.0,,0.0
60,72177,1.0,"[99,1]","[-5,-11]","[80,10,10]","[-12,39.5,40.5]",problem12369,1154.0,,0.0
61,72177,1.0,"[80,20]","[7,6]",[100],[7],problem7758,1171.0,,0.0
62,72177,1.0,"[75,25]","[-2,25]","[25,75]","[84,-12]",problem2636,1171.0,,0.0
63,72177,1.0,"[75,25]","[4,-16]","[75,25]","[-9,20]",problem4730,1504.0,Thank you .,3.0
64,72177,0.0,"[60,40]","[7,-35]","[95,0.15625,0.78125,1.5625,1.5625,0.78125,0.15625]","[-25,99.5,100.5,101.5,102.5,103.5,104.5]",problem6105,1621.0,Bye .,2.0
65,72177,1.0,"[75,0.78125,3.90625,7.8125,7.8125,3.90625,0.78125]","[20,24.5,25.5,26.5,27.5,28.5,29.5]",[100],[21],problem4251,2121.0,60 %.,2.0
66,72177,1.0,"[40,30,30]","[-22,5.5,6.5]",[100],[-5],problem5326,1238.0,,0.0
67,72177,0.0,[100],[29],"[80,10,10]","[15,48,50]",problem12220,1988.0,There is no Province,4.0
68,72177,1.0,"[10,90]","[6,14]","[10,90]","[67,-3]",problem3547,1355.0,,0.0
69,72177,1.0,"[50,25,25]","[-2,42.5,43.5]","[25,75]","[87,-8]",problem453,3055.0,Seven . Hmm .,4.0
70,72177,1.0,"[90,10]","[7,36]",[100],[6],problem9344,1070.0,ლლლლლლლლლლლ,1.0
71,72177,0.0,"[80,20]","[8,4]","[60,20,10,10]","[-17,19,21,25]",problem1004,1238.0,you,1.0
